BIBTEXKEY,author_first,pub_year,author_year,study,summarized_in,fig_table,age,age_units,age_mos,age_grp_rog,binoc_monoc,eye,n_participants,distance_cm,start_card_cyc_deg,acuity,acuity_units,acuity_type,lower_limit_cyc_deg,closest_card_cyc_deg,upper_limit_cyc_deg,sd,sd_units,country,card_type
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,34–36,35,binoc,OU,35,55,NA,12.01,cyc_deg,mean,3.1,NA,46.5,3.1,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,2–6,4,monoc,NA,12,38,NA,1.97,cyc_deg,mean,0.55,NA,7.06,0.55,10_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,7–12,8.5,monoc,NA,11,55,NA,2.88,cyc_deg,mean,0.91,NA,9.17,0.91,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,13–18,15.5,monoc,NA,13,55,NA,4.04,cyc_deg,mean,1.72,NA,9.5,1.72,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,19–21,20,monoc,NA,10,55,NA,4.39,cyc_deg,mean,1.15,NA,16.78,1.15,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,22–24,23,monoc,NA,14,55,NA,6.91,cyc_deg,mean,2.08,NA,22.91,2.08,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,25–27,26,monoc,NA,29,55,NA,5.91,cyc_deg,mean,2.13,NA,16.41,2.13,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,28–30,29,monoc,NA,19,55,NA,7.95,cyc_deg,mean,3.11,NA,20.31,3.11,10_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,31–33,32,monoc,NA,41,55,NA,8.77,cyc_deg,mean,2.01,NA,38.19,2.01,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,34–36,35,monoc,NA,59,55,NA,10.75,cyc_deg,mean,4.75,NA,24.34,4.75,5_pct_90_tol_int,china,tac_ii
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,1,mos,1,1,monoc,NA,32,38,0.22,0.94,cyc_deg,mean,NA,NA,NA,0.44,5_pct_90_tol_int,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,1.5,mos,1.5,1.5,monoc,NA,40,38,0.22,1.11,cyc_deg,mean,NA,NA,NA,0.42,5_pct_90_tol_int,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,2.5,mos,2.5,2.5,monoc,NA,38,38,0.44,2.16,cyc_deg,mean,NA,NA,NA,0.43,5_pct_90_tol_int,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,4,mos,4,4,monoc,NA,40,38,0.44,2.68,cyc_deg,mean,NA,NA,NA,0.47,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,6,mos,6,6,monoc,NA,40,55,0.86,5.65,cyc_deg,mean,NA,NA,NA,0.47,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,9,mos,9,9,monoc,NA,30,55,0.86,6.79,cyc_deg,mean,NA,NA,NA,0.43,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,12,mos,12,12,monoc,NA,40,55,0.86,6.42,cyc_deg,mean,NA,NA,NA,0.29,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,18,mos,18,18,monoc,NA,40,55,1.57,8.59,cyc_deg,mean,NA,NA,NA,0.37,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,24,mos,24,24,monoc,NA,40,55,1.57,9.57,cyc_deg,mean,NA,NA,NA,0.27,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,30,mos,30,30,monoc,NA,40,84,1.57,11.52,cyc_deg,mean,NA,NA,NA,0.48,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,36,mos,36,36,monoc,NA,39,84,3.55,21.81,cyc_deg,mean,NA,NA,NA,0.36,octave,us,tac_i
Mayer1995-hi,Mayer,1995,Mayer1995,NA,NA,table_02,48,mos,48,48,monoc,NA,32,84,3.55,24.81,cyc_deg,mean,NA,NA,NA,0.31,octave,us,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,0,mos,0,0,binoc,OU,60,NA,NA,1.39,cyc_deg,mean,NA,NA,NA,0.57,octave,italy,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,3,mos,3,3,binoc,OU,60,NA,NA,3.24,cyc_deg,mean,NA,NA,NA,0.62,octave,italy,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,6,mos,6,6,binoc,OU,60,NA,NA,5.43,cyc_deg,mean,NA,NA,NA,0.43,octave,italy,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,9,mos,9,9,binoc,OU,60,NA,NA,9.38,cyc_deg,mean,NA,NA,NA,0.29,octave,italy,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,12,mos,12,12,binoc,OU,60,NA,NA,11.05,cyc_deg,mean,NA,NA,NA,0.35,octave,italy,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,18,mos,18,18,binoc,OU,54,NA,NA,11.78,cyc_deg,mean,NA,NA,NA,0.29,octave,italy,tac_i
Cavallini2002-hl,Cavallini,2002,Cavallini2002,NA,NA,table_01,24,mos,24,24,binoc,OU,60,NA,NA,21.08,cyc_deg,mean,NA,NA,NA,0.61,octave,italy,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,1,weeks,0,0,binoc,OU,51,NA,NA,1,cyc_deg,mean,NA,NA,NA,0.6,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,1,weeks,0,0,binoc,OU,24,NA,NA,0.7,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,4,weeks,1,1,binoc,OU,8,NA,NA,1.1,cyc_deg,mean,NA,NA,NA,1.1,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,4,weeks,1,1,binoc,OU,6,NA,NA,0.8,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,4,weeks,1,1,monoc,NA,5,NA,NA,0.6,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,4,weeks,1,1,binoc,OU,7,NA,NA,1.3,cyc_deg,mean,NA,NA,NA,1,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,8,weeks,2,2,binoc,OU,8,NA,NA,2.1,cyc_deg,mean,NA,NA,NA,0.9,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,8,weeks,2,2,binoc,OU,6,NA,NA,2,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,8,weeks,2,2,monoc,NA,6,NA,NA,1.4,cyc_deg,mean,NA,NA,NA,1.4,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,8,weeks,2,2,binoc,OU,15,NA,NA,1.4,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,12,weeks,3,3,binoc,OU,10,NA,NA,4.1,cyc_deg,mean,NA,NA,NA,0.6,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,16,weeks,4,4,binoc,OU,8,NA,NA,3.7,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,16,weeks,4,4,binoc,OU,6,NA,NA,4.5,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,16,weeks,4,4,monoc,NA,6,NA,NA,2.3,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,16,weeks,4,4,binoc,OU,5,NA,NA,4.9,cyc_deg,mean,NA,NA,NA,0.6,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,20,weeks,5,5,binoc,OU,9,NA,NA,4.3,cyc_deg,mean,NA,NA,NA,0.9,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,6,mos,6,6,binoc,OU,8,NA,NA,4.7,cyc_deg,mean,NA,NA,NA,0.8,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,6,mos,6,6,binoc,OU,6,NA,NA,5.3,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,6,mos,6,6,monoc,NA,6,NA,NA,3.7,cyc_deg,mean,NA,NA,NA,0.9,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,6,mos,6,6,binoc,OU,5,NA,NA,7.8,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,9,mos,9,9,binoc,OU,6,NA,NA,5,cyc_deg,mean,NA,NA,NA,1,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,9,mos,9,9,binoc,OU,5,NA,NA,9.6,cyc_deg,mean,NA,NA,NA,0.9,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,9,mos,9,9,monoc,NA,6,NA,NA,5,cyc_deg,mean,NA,NA,NA,1,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,12,mos,12,12,binoc,OU,6,NA,NA,6.3,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,12,mos,12,12,monoc,NA,6,NA,NA,3.3,cyc_deg,mean,NA,NA,NA,0.9,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,12,mos,12,12,binoc,OU,5,NA,NA,10.2,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,18,mos,18,18,binoc,OU,9,NA,NA,9.8,cyc_deg,mean,NA,NA,NA,0.4,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,18,mos,18,18,monoc,NA,9,NA,NA,7.3,cyc_deg,mean,NA,NA,NA,0.6,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,18,mos,18,18,binoc,OU,4,NA,NA,10.7,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,24,mos,24,24,binoc,OU,12,NA,NA,14.9,cyc_deg,mean,NA,NA,NA,0.6,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,24,mos,24,24,monoc,NA,9,NA,NA,13.2,cyc_deg,mean,NA,NA,NA,0.6,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,30,mos,30,30,binoc,OU,9,NA,NA,23.4,cyc_deg,mean,NA,NA,NA,0.3,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,30,mos,30,30,monoc,NA,9,NA,NA,18.4,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,36,mos,36,36,binoc,OU,9,NA,NA,27.7,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Teller1986-oc,Teller,1986,Teller1986,NA,NA,table_01,36,mos,36,36,monoc,NA,9,NA,NA,25.3,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
Courage1990-xe,Courage,1990,Courage1990,1,NA,table_01,0,mos,0,0,binoc,OU,20,38,NA,0.9,cyc_deg,mean,NA,NA,NA,0.9,octave,canada,tac_i
Dobson1987-cs,Dobson,1987,Dobson1987,2,Courage1990-xe,NA,0,mos,0,0,binoc,OU,30,38,NA,0.7,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Brown1986-th,Brown,1986,Brown1986,3,Courage1990-xe,table_01,0,mos,0,0,binoc,OU,40,38,NA,1,cyc_deg,mean,NA,NA,NA,1,octave,us,tac_i
Courage1990-xe,Courage,1990,Courage1990,1,NA,table_01,1,mos,1,1,binoc,OU,20,38,NA,1.1,cyc_deg,mean,NA,NA,NA,1.1,octave,canada,tac_i
McDonald1985-sp,McDonald,1985,McDonald1985,4,Courage1990-xe,table_01,1,mos,1,1,binoc,OU,8,38,NA,1.1,cyc_deg,mean,NA,NA,NA,1.1,octave,us,tac_i
McDonald1986-tg,McDonald,1986a,McDonald1986a,5,Courage1990-xe,table_01,1,mos,1,1,binoc,OU,6,38,NA,0.8,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
van-Hof-van-Duin1986-ne,van Hof-van Duin,1986,van Hof-van Duin1986,6,Courage1990-xe,table_01,1,mos,1,1,binoc,OU,NA,NA,NA,1.3,cyc_deg,mean,NA,NA,NA,1,octave,netherlands,tac_i
Courage1990-xe,Courage,1990,Courage1990,1,NA,table_01,3,mos,3,3,binoc,OU,20,NA,NA,2.6,cyc_deg,mean,NA,NA,NA,0.6,octave,canada,tac_i
van-Hof-van-Duin1986-ne,van Hof-van Duin,1986,van Hof-van Duin1986,6,Courage1990-xe,table_01,3,mos,3,3,binoc,OU,NA,38,NA,4.1,cyc_deg,mean,NA,NA,NA,0.6,octave,netherlands,tac_i
Courage1990-xe,Courage,1990,Courage1990,1,NA,table_01,6,mos,6,6,binoc,OU,20,55,NA,5.9,cyc_deg,mean,NA,NA,NA,0.6,octave,canada,tac_i
McDonald1985-sp,McDonald,1985,McDonald1985,4,Courage1990-xe,table_01,6,mos,6,6,binoc,OU,8,55,NA,4.7,cyc_deg,mean,NA,NA,NA,0.8,octave,us,tac_i
McDonald1986-tg,McDonald,1986a,McDonald1986a,5,Courage1990-xe,table_01,6,mos,6,6,binoc,OU,8,55,NA,5.3,cyc_deg,mean,NA,NA,NA,0.5,octave,us,tac_i
van-Hof-van-Duin1986-ne,van Hof-van Duin,1986,van Hof-van Duin1986,6,Courage1990-xe,table_01,6,mos,6,6,binoc,OU,NA,NA,NA,7.8,cyc_deg,mean,NA,NA,NA,0.5,octave,netherlands,tac_i
Courage1990-xe,Courage,1990,Courage1990,1,NA,table_01,12,mos,12,12,binoc,OU,20,55,NA,9.6,cyc_deg,mean,NA,NA,NA,0.3,octave,canada,tac_i
McDonald1986-tg,McDonald,1986a,McDonald1986a,5,Courage1990-xe,table_01,12,mos,12,12,binoc,OU,6,55,NA,6.3,cyc_deg,mean,NA,NA,NA,0.7,octave,us,tac_i
Kohl1988-kl,Kohl,1988,Kohl1988,7,Courage1990-xe,table_01,12,mos,12,12,binoc,OU,18,55,NA,6.4,cyc_deg,mean,NA,NA,NA,0.5,octave,NA,tac_i
Heersema1988-td,Heersema,1990,Heersema1990,9,Courage1990-xe,table_01,12,mos,12,12,binoc,OU,20,55,NA,17.3,cyc_deg,mean,NA,NA,NA,0.4,octave,netherlands,tac_i
van-Hof-van-Duin1986-ne,van Hof-van Duin,1986,van Hof-van Duin1986,6,Courage1990-xe,table_01,12,mos,12,12,binoc,OU,NA,NA,NA,10.2,cyc_deg,mean,NA,NA,NA,0.5,octave,NA,tac_i
Courage1990-xe,Courage,1990,Courage1990,1,NA,NA,24,mos,24,24,binoc,OU,20,NA,NA,13.2,cyc_deg,mean,NA,NA,NA,0.5,octave,NA,tac_i
